site_name,website,latitude,longitude,address,phone,description,amenities
Bennington Battlefield State Historic Site,https://parks.ny.gov/historic-sites/12,42.933758,-73.304878,"5157 Route 67Walloomsac, NY 12090",(518) 860-9094,"2022 Geocache challengeBennington Battlefield preserves the site of a Revolutionary War battle between a detachment from the British General John Burgoyne's invading army and New Hampshire, Massachusetts and Vermont state militia commanded by General John Stark of New Hampshire and Colonel Seth Warner of Vermont. The battle was fought in two engagements on August 16, 1777 and resulted in a decisive victory for the Americans. As a result, Burgoyne's army suffered irreplaceable losses and failed to gather the supplies needed for a timely push on Albany. Burgoyne later surrendered on October 17 after the Battles of Saratoga.Visitors to the battlefield will find a series of interpretive signs, 2.7 mile trail system, picnic area, and information building. Guided tours are offered frequently during the operating season and by appointment.Friends of the Bennington Battlefield NewsletterMailing Addressc/o Grafton Lakes State ParkPO Box 163 Grafton, NY 12082",Picnic Area
Clermont State Historic Site,https://parks.ny.gov/historic-sites/16,42.085087,-73.911835,"One Clermont AvenueGermantown, NY 12526",(518) 537-4240,"Clermont State Historic Site was the Hudson River seat of New York's politically and socially prominent Livingston Family. Seven successive generations of the family left their imprint on the site's architecture, room interiors and landscape. Robert R. Livingston, Jr. was Clermont's most notable resident. His accomplishments include: drafting the Declaration of Independence, serving as first U.S. Minister of Foreign Affairs, administering the oath of office to George Washington, negotiating the Louisiana Purchase and developing steamboat technology with Robert Fulton.Today, Clermont appears much as it did in the early 20th century, when it was the home of the property's last two generations: Mr. and Mrs. John Henry Livingston and their daughters, Honoria and Janet. Designated a National Historic Landmark in 1973, Clermont is also an anchor in the 1990 Hudson River National Landmark District.Don't miss these popular destinations and attractions within or near Clermont State Historic Site:Gift Shop- located in the Visitor's Center, find historic items for everyone on your list.Visitors Center- view exhibits about Clermont and the LivingstonsThe Four Gardens of ClermontSouth Spring Garden- gorgeous views of the Hudson RiverCutting Garden- once provided cut flowers for vases in the houseWalled Garden- influenced by gardens in Florence, ItalyWilderness Garden- connects the Upper Garden with the Walled Garden, the centerpiece is the fishpond.","Equestrian Trails, Gift Shop, Hiking, Picnic Area, Snowshoeing/X-Country Skiing, Tours, Visitor Center"
Clinton House State Historic Site,https://parks.ny.gov/historic-sites/1,41.700333,-73.915993,"549 Main StreetPoughkeepsie, NY 12602",(845) 471-1630,"The vernacular stone house now known as Clinton House State Historic Site was built in 1765. The house was actively utilized from 1777 - 1783 when Poughkeepsie was the capital of New York State and several branches of state government convened in town. After a fire in 1783, General George Washington's New Windsor Cantonment ordered carpenters to rebuild this important structure. In addition to repairs, the house was enlarged and the present stairway was constructed at this time.Clinton House State Historic Site has foundations which are two feet thick. The walls are constructed of rough fieldstone, while the gabled ends are made of wood. It is named in tribute to George Clinton, first governor of New York State, who resided in Poughkeepsie for twenty-one years. Today, with the support of the Dutchess County Historical Society, the site houses archives and a library for local historical research.Mailing AddressP.O. Box 88Poughkeepsie, NY 12602",
Crailo State Historic Site,https://parks.ny.gov/historic-sites/30,42.634590,-73.749496,"9 1/2 Riverside AvenueRensselaer, NY 12144",(518) 463-8738,"2022 Geocache challengeCrailo is the museum of the Colonial Dutch in the Hudson River Valley. Originally a part of the vast landholding called the Manor or Patroonship of Rensselaerswyck, the Crailo farm was named after the Van Rensselaer's estate in the Netherlands, variously spelled Crayloo or Cralo in the 17th century, and meaning ""crows' wood"" in Dutch.Crailo was built in the early 18th century by Hendrick Van Rensselaer, grandson of the First Patroon. Hendrick died in 1740 and his eldest son, Johannes, inherited Crailo. He remodeled the house and added an east wing in the Georgian style, reflecting the increasing influence of the English on the Albany-area Dutch.In the late 18th century, Crailo was remodeled in the Federal style. It served as a boys' boarding school in the 1840s and later as a church rectory. Each new venture brought more changes to the structure. In 1924 Crailo was donated to New York State for development as a museum.Crailo today tells the story of the early Dutch inhabitants of the upper Hudson Valley through exhibits highlighting archeological finds from the Albany Fort Orange excavations, special programs, and guided tours of the museum.Outreach programs to schools and hearthside cooking programs are available by reservation.Congratulations Crailo, WINNER of the 2010 CINE Special Jury Award for the film:""Keeping Order: A Fort Orange Court Record""",Visitor Center
Crown Point State Historic Site,https://parks.ny.gov/historic-sites/34,44.024853,-73.424377,"21 Grandview DriveCrown Point, NY 12928",(518) 597-4666,"2022 Geocache challengeCrown Point State Historic Site is dedicated to the preservation and interpretation of the ruins of two fortifications from the colonial wars between the British and French. Long before the American Revolution these colonial powers both laid claim to the Champlain Valley and this strategically important peninsula known as Crown Point. The French built Fort St. Frederic here between 1734 and 1737 and used it as a base for raids on British settlements in New York and New England. As a result, the British mounted various expeditions to take control of Crown Point, and in 1759 they were finally successful. They immediately began construction of new fortifications that they called ""His Majesty's Fort of Crown Point"". Enclosing over seven acres this was one of the largest built by the British in North America.In 1775, at the outbreak of the Revolutionary War, the American colonists captured the fort and secured sorely needed cannons and heavy ordnance. Crown Point was occupied by General John Burgoyne's army in 1777 after the American evacuation to Mount Independence and remained under British control until the end of the war. The ruins of Fort St. Frederic, ""His Majesty's Fort of Crown Point,"" and surrounding lands were acquired by the State of New York in 1910.Today, visitors can explore the preserved ruins of these forts and tour the museum which includes a multimedia orientation program, large scale models, and an exhibit of original artifacts recovered from the site by archaeologists. Additionally, the site offers access to the historic Crown Point Pier, the Champlain Memorial Lighthouse, the walking paths on either side of the newly constructed Lake Champlain Bridge, and fantastic views of Lake Champlain. Tours for school and adult groups, as well as outreach programs, are available by reservation.Crown Point Campground(Operated by DEC):Open May 20 - Oct 10. Reserve throughReserve America. Information: 518-597-3603.Pet PolicyDogs on a leash - not exceeding six feet in length. Not permitted in buildings, camping, and picnic areas except where needed as a seeing eye, guide dog (service dog). Proof of license, tags, and a valid rabies vaccination must be demonstrated. Carry in/carry out policy for dog waste","Hiking, Picnic Area, Snowshoeing/X-Country Skiing, Tours, Tours, Visitor Center"
Darwin Martin House State Historic Site,https://parks.ny.gov/historic-sites/35,42.936040174200002,-78.846494827399994,"125 Jewett ParkwayBuffalo, NY 14214",(716) 856-3858,"Know Before You Go...More InfoPet PolicyNo Pets AllowedPlease NoteThe Every-Kid-in-a Park pass does not apply to the Darwin Martin House State Historic SiteIn 1905, Frank Lloyd Wright completed a residential estate that would become one of the most important works of his career. Buffalo's Martin House is a seminal Prairie House and a rare Wright design that incorporates multiple structures for an extended family.A self-made man, Darwin D. Martin was a top executive for the Larkin Soap Company, a rapidly growing soap and mail order corporation at the turn of the 19th century. Having experienced a lonely and isolated childhood, Martin's dream was to have a home where his family could be reunited. This dream was realized when he commissioned Frank Lloyd Wright - destined to become America's greatest architect - to design the estate.The estate would include a spectacular main house for Darwin and his wife, Isabelle, as well as a conservatory, a garage-stable, a dramatic connecting pergola, and a separate house for Martin's sister and brother-in-law, Delta and George Barton.Today, the Martin House, a National Historic Landmark, has been restored to its glorious zenith of 1907. The museum consists of six buildings, grounds and gardens, and guest amenities including an interpretive visitor center, museum store, and cafe. A gardener's cottage was also added to the estate in 1909.No Pets Allowed",Tours
Fort Montgomery State Historic Site,https://parks.ny.gov/historic-sites/28,41.324532,-73.988701,"690 Route 9WFort Montgomery, NY 10922",(845) 446-2134,"Fort Montgomery was the scene of a fierce Revolutionary War battle for control of the Hudson River. Visitors today can tour the remains of the 14-acre fortification, perched on a cliff overlooking the magnificent Hudson. On October 6, 1777, British, Loyalist and Hessian forces attacked Fort Montgomery and nearby Fort Clinton. The defending American Patriots, outnumbered 3 to 1, fought desperately until driven out of their forts at the points of the enemy bayonets. More than half of the Patriot forces were killed, wounded or captured.Visitors can learn about this important military post at the site's museum, which showcases original artifacts and weapons, large scale models of the fort and the attack, highly detailed mannequins frozen in poses of battle, and an action packed fifteen minute movie of the 1777 assault. Archeologists have revealed many of Fort Montgomery's remains, including stone foundations of barracks, the gunpowder magazine and eroded redoubt walls. There is a spectacular view of the Hudson River from the Grand Battery, where reproduction cannon stand guard and are occasionally fired by the fort's staff. The past comes alive at Fort Montgomery with living history demonstrations of artillery, musketry, music and camp life activities.Mailing AddressP.O. Box 213 Fort Montgomery, NY 10922","Demonstrations, Hiking, Tours, Visitor Center"
Fort Ontario State Historic Site,https://parks.ny.gov/historic-sites/20,43.463432,-76.507027,"1 East Fourth StreetOswego, NY 13126",(315) 343-4711,"Know Before You Go...More InfoPet PolicyDogs on leashes are permitted on the premises.Visitors to Fort Ontario State Historic Site today will see the star-shaped fort dating to the early 1840's with 1863 to 1872 improvements. There are two guardhouses, a powder magazine, a storehouse, enlisted men's barracks, an Army office building, an unfurnished officer's quarters, videos, exhibits and windswept ramparts featuring magnificent views of Lake Ontario and underground stone casemates and galleries to tour.The fourth and current Fort Ontario is built on the ruins of three earlier fortifications which were the site of three French and Indian War and two War of 1812 battles.  It was occupied by the U.S. Army through World War II.  From 1944 to 1946 the fort served as the only refugee camp in the United States for mostly Jewish victims of the Nazi Holocaust under an Executive Order from President Franklin D. Roosevelt.  A post cemetery containing the graves of 77 officers, soldiers, women, and children who served at Fort Ontario in war and peace is situated on the grounds which are open year-round from dawn to dusk.In 1946 Fort Ontario was transferred to the State of New York and housed World War II veterans and their families until 1953.  It opened as a state historic site in 1949.Dogs on leashes are permitted on the premises.","Picnic Area, Re-enactments, Tours, Visitor Center"
Ganondagan State Historic Site,https://parks.ny.gov/historic-sites/26,42.961117,-77.413200,"7000 County Rd 41Victor, NY 14564",(585) 924-5848,"Know Before You Go...More InfoCapacityWhen group tours are scheduled, the site will temporarily close in order to adhere to current capacity limits.KNOW BEFORE YOU GO:When group tours are scheduled, the site will temporarily close in order to adhere to current capacity limits.Ganondagan State Historic Site located in Victor, NY is a National Historic Landmark, the only New York State Historic Site dedicated to a Native American theme (1987), and the only Seneca town developed and interpreted in the United States. Spanning 569 acres, Ganondagan is the original site of a 17th century Seneca town which existed there peacefully more than 350 years ago. The culture, art, agriculture, and government of the Seneca people influenced our modern understanding of equality, democratic government, women's rights, ecology and natural foods.Ganondagan's full-size Seneca Bark Longhouse (1998) is fully furnished to reflect a typical Seneca family from the late 1600's, complete with reproductions of 17th century Seneca objects and colonial-era trade goods.The newly built Seneca Art & Culture Center (2015) at Ganondagan State Historic Site is a 17,300-square-foot center that tells the story of Haudenosaunee (Iroquois) contributions to art, culture, and society. Designed to fit into the natural landscape, the center features an interactive, multi-media Exhibit Gallery, including a changing exhibit space, Orientation Theater (featuring theIroquois Creation Storyfilm), auditorium, and gift shop.The grounds surrounding the center include two signed interpretive trails that educate visitors about the significance of plant life, Haudenosaunee culture and history. A third trail just a mile away from the center, interprets the history and the importance of Fort Hill, a large palisaded granary.Visitwww.ganondagan.orgfor more information.** Inset Picture from: Democrat and Chronicle, Rochester, New York.Mailing AddressP.O. Box 239 Victor, NY 14564","Gift Shop, Hiking, Picnic Area, Tours, Visitor Center"
Grant Cottage State Historic Site,https://parks.ny.gov/historic-sites/9,43.201328,-73.745285,"1000 Mt McGregor RdWilton, NY 12831",(518) 587-8277,"It was in Joseph W. Drexel's Adirondack cottage that General Ulysses S. Grant died of throat cancer on July 23, 1885. President Grant arrived at the cottage on June 16, 1885, with a large entourage of family, friends, servants, and physicians in order to complete his memoirs. He died just four days after his final proofreading.Today, the cottage and its furnishings remain essentially the same as during the Grant family's stay for six weeks in 1885. Guests to the cottage may visit the spacious porch, tour the cottage's four rooms, and view floral arrangements that remain from Grant's August 4th funeral.There is also a short path to the Eastern Outlook, which commands a spectacular view of the Hudson Valley, from the Adirondacks in the north, the Green Mountains of Vermont to the east, and the Catskills to the south. Grant Cottage State Historic site was established in 1957 and is owned by the State of New York. It is operated by The Friends of the Ulysses S. Grant Cottage.In 2021, Grant Cottage State Historic Site wasdesignated as a National Historic Landmark.Cottage Porch Chats are held Wednesdays at noon periodically throughout the season. Please check out the Friend's website for details.Mailing AddressP.O. Box 2294Wilton, NY 12831","Picnic Area, Tours"
Herkimer Home State Historic Site,https://parks.ny.gov/historic-sites/14,43.025497,-74.820488,"200 State Route 169Little Falls, NY 13365",(315) 823-0398,"Know Before You Go...More InfoToursThe house is available for guided tours Memorial Day weekend thru Labor Day weekend, Wed- Sun. The site grounds may be enjoyed throughout the year from dawn to dusk.Situated overlooking the Mohawk River, this Georgian-style mansion was home to General Nicholas Herkimer. Construction of his residence on the colonial frontier was completed around 1764. General Herkimer's place in history was assured in 1777 when he assembled 800 militiamen, supported by 60 allied Oneida warriors, and marched to defend Ft. Stanwix against a British siege. Considered to be a significant turning point in the Revolutionary War, the Battle of Oriskany, fought on August 6, 1777, has been described as one of the bloodiest battles of the war. Although wounded in the leg, Herkimer kept command during the fierce combat. After the battle he was carried home where he died 10 days later from complications following the amputation of his leg. Herkimer's estate was home to many over the years, including his family, enslaved people who helped run the estate, soldiers encamped during the war, and neighbors seeking refuge from the fighting in the Mohawk Valley. During the 1800's the property saw much change as the first the Erie Canal, and later the railroad, cut across it. Today the site can easily be reached from the highway, river or Canalway Trail. Visitors are invited to tour the mansion and view the visitor center exhibits; and also explore the grounds to discover General Herkimer's final resting place, a recreated kitchen garden, remnants of an Erie Canal lock, and scenic views of the Mohawk River.","Demonstrations, Hiking, Picnic Area, Re-enactments, Tours, Visitor Center"
Hyde Hall State Historic Site,https://parks.ny.gov/historic-sites/11,42.792313,-74.875130,"267 Glimmerglass State Park RoadCooperstown, NY 13326",(607) 547-5098,"Know Before You Go...More InfoHyde Hall is committed to your safety by:1. Requiring reservations for all visitors and groups.

2. Mandating masks/face covers for all visitors regardless of vaccination status.

3. Limiting tour sizes to eight individuals in the mansion at a time.

4. Maintaining safe physical distancing.

5. Continuing increased disinfection and sanitation.KNOW BEFORE YOU GO:Hyde Hall is committed to your safety by:1. Requiring reservations for all visitors and groups.2. Mandating masks/face covers for all visitors regardless of vaccination status.3. Limiting tour sizes to eight individuals in the mansion at a time.4. Maintaining safe physical distancing.5. Continuing increased disinfection and sanitation.Hyde Hall, built on the shores of Otsego Lake by George Clarke (1768-1835), was to be a showplace at the center of his agricultural empire that included vast tracts of land in New York State, England, and Jamaica. He commissioned Philip Hooker of Albany, whose credits included the original New York State Capitol, Albany City Hall, and the facade of Hamilton College's chapel, to draw up plans for his grand house.Clarke created a country estate reminiscent of his childhood in England in the middle of New York State. Seasonal building campaigns took place until Clarke's death in 1835. Hyde Hall was possibly the largest domestic structure built in the United States between the Revolutionary and Civil Wars. Hyde Hall remained in the Clarke family until 1963, when the house and its acreage were acquired by New York State for the development of Glimmerglass State Park.Visitors to Hyde Hall are welcome to explore its nearly 50 rooms, view ongoing restoration work, and picnic on the lawn and take in the unspoiled view of Otsego Lake.Mailing AddressP.O. Box 721Cooperstown, NY 13326","Gift Shop, Hiking, Picnic Area, Snowshoeing/X-Country Skiing, Tours, Visitor Center"
Jay Heritage Center,https://parks.ny.gov/historic-sites/39,40.958358,-73.705237,"210 Boston Post RoadRye, NY 10580",(914) 698-9275,"The 23-acre Jay Estate in Rye is one of two family homes of American founding father John Jay (1745-1829) located in Westchester. Jay was a noted jurist, peacemaker, governor and anti-slavery advocate. The site, which overlooks Long Island Sound is part of the Boston Post Road Historic District, a National Historic Landmark and a stop on Westchester County's African American Heritage Trail. It is also one of 100 top attractions in the Hudson River Valley National Heritage Area.The Jay Estate has three owners: 21.5 acres have been owned by New York State Parks in conjunction with Westchester County Parks since 1997. The not-for-profit organization, the Jay Heritage Center (JHC) owns the 1838 Greek Revival mansion, and 1.5 acres of land around it. The 1907 Van Norden Carriage House is a second building being restored by JHC; it serves as the Jay Estate Visitor and Education Center.Under a 2013 agreement, the Jay Estate is managed by JHC for New York State and Westchester County as dedicated parkland. It is used for recreation and hosts programs about American history, social justice, architecture and conservation. The restoration of historic gardens and a 1917 Tennis House are ongoing projects and when finished will be exciting resources for the public.For hours of operating and other visiting information, please visit:jayheritagecenter.org",
